ARIMA_Predicted,LSTM_Predicted
10.724470684207628,12.316624
9.242383808610928,11.1608305
7.886626556958392,10.417504
6.6853162901349155,9.819168
5.936883138935163,9.191045
5.640708726619852,9.039304
5.782983576056389,10.790902
6.331387229186479,11.220418
7.234083484320195,13.316148
8.417301987852317,12.841039
9.792274321796384,13.27683
11.2620634790417,13.384684
12.72819453159234,13.361307
14.096959713689373,13.250391
15.285191414633307,13.162413
16.225107554131892,13.062397
16.86794612814939,12.647928
17.18621218647267,12.191818
17.174459695075555,11.548494
16.848625767597476,10.914219
16.24402630231316,10.170424
15.412202906532128,9.502543
14.416875884987883,8.897231
13.32930357982926,8.388611
12.223372538871667,8.015195
11.170745295033331,7.798487
10.236373816010767,7.668485
9.47464909370851,7.6251726
8.926404163300457,7.604788
8.616923194997788,7.5749884
8.555037854871724,7.4944634
8.733318772328463,7.390383
9.129299466526271,7.2362304
9.707606853449889,7.059416
10.422820194660224,6.865681
11.222841899671874,6.681791
12.052540783057003,6.519107
12.85742194588207,6.384139
13.587087057157591,6.2770042
14.19827310159199,6.204161
14.65729440399657,6.157321
14.941759012301592,6.129883
15.04148291895607,6.109177
14.958580487350453,6.0881743
14.706763196640528,6.074662
14.309928035771371,6.061693
13.80015862238486,6.0458674
13.21529406534747,6.0259957
12.596241136390946,6.003778
11.984213675471482,5.9809823
11.41807935141913,5.95832
10.931978737388865,5.936442
10.553356633076653,5.9159384
10.301512729179397,5.897769
10.186740526125575,5.882906
10.210082579765436,5.871095
10.363689388815839,5.8620796
10.631731168572491,5.855451
10.991778686885374,5.850827
11.416543159033077,5.847713
11.875847267334208,5.8455343
12.338690457763807,5.8437977
12.775271925383162,5.842147
13.158843694356964,5.8403926
13.467282948916353,5.838416
13.684295849322147,5.836195
13.800192702800867,5.8337812
13.812204574183557,5.8312726
13.724342161129186,5.8287973
13.546827031753894,5.8264666
13.29515132124256,5.824365
12.988843194419923,5.8225493
12.650030665423698,5.8210444
12.301905017510034,5.8198466
11.96718683677123,5.8189254
11.666692766377173,5.8182325
11.418090124352934,5.817712
11.234910488588447,5.81731
11.12587349835277,5.816981
11.094549898962562,5.8166847
11.139369797411787,5.8163953
11.25395971674607,5.8160973
11.42777173762275,5.815788
11.64695100096136,5.815469
11.895375054240088,5.81515
12.155790580606164,5.8148384
12.410970240133228,5.814547
12.644814620002052,5.8142824
12.843331256296208,5.814051
12.995433692249541,5.813856
13.093517685928177,5.813695
13.133787923754445,5.8135657
13.116325798436458,5.813463
13.044905825109915,5.8133817
12.926584016864343,5.8133163
12.771095070274974,5.8132606
12.590105758790411,5.8132105
12.396378958663249,5.813164
12.202905950572836,5.81312
12.022064019311491,5.813076
11.864852130286929,5.8130326
11.740250033564045,5.812991
11.654736155897844,5.812949
11.611987846310688,5.8129125
11.612774779555801,5.812878
11.655043455904782,5.812848
11.734178593779758,5.812823
11.84341653801162,5.8128014
11.974377216880256,5.812783
12.117675129721418,5.8127675
12.263566604476516,5.812755
12.40259020949887,5.8127446
12.526159626098718,5.8127346
12.627073204823343,5.812727
12.699911409733291,5.8127203
12.741301858906773,5.812714
12.750041081472451,5.812707
12.727071787155134,5.812701
12.675323751912163,5.8126955
12.599434783668734,5.8126907
12.505375153651638,5.8126855
12.400003984365508,5.812682
12.290589131476045,5.8126774
12.184322983449512,5.8126755
12.087865372342273,5.812673
12.00694161783768,5.812671
11.946018906863124,5.812669
11.908078127367196,5.812668
11.894491374823858,5.8126664
11.905008113153615,5.8126645
11.937845876921108,5.8126636
11.989874896662668,5.8126626
12.056880503423292,5.812661
12.133882930824901,5.81266
